,trade_date,open,high,low,close,vol
487,20160104,20.33,20.43,19.22,19.35,71157.91
486,20160105,18.8,19.7,18.67,19.65,105982.46
485,20160106,19.4,19.95,19.4,19.88,70075.64
484,20160107,19.71,19.71,18.88,19.09,26679.56
483,20160108,19.4,19.8,18.68,19.8,108446.45
482,20160111,19.5,19.52,18.7,18.72,90086.37
481,20160112,18.8,18.93,18.07,18.33,77033.8
480,20160113,18.39,18.58,18,18,61456.15
479,20160114,17.81,18.43,17.5,18.27,65846.09
478,20160115,18.25,18.25,17.55,17.74,61240.46
477,20160118,17.6,17.87,17.5,17.67,52316.64
476,20160119,17.7,18.17,17.5,18.08,101595.71
475,20160120,17.98,17.98,17.55,17.61,75930.65
474,20160121,17.5,17.7,17.1,17.1,76548.58
473,20160122,17.21,17.35,16.98,17.17,48676.77
472,20160125,17.23,17.41,17.15,17.32,31104.8
471,20160126,17.24,17.45,16.4,16.51,69463.94
470,20160127,16.7,16.88,16.25,16.75,73664.65
469,20160128,16.59,17.08,16.59,16.87,79308.44
468,20160129,16.92,17.73,16.92,17.63,76934.29
467,20160201,17.48,18.08,17.48,17.8,97141.77
466,20160202,17.74,17.95,17.58,17.7,63243.37
465,20160203,17.65,18.18,17.59,18.12,75805.97
464,20160204,18.12,18.4,17.98,18.17,53936.7
463,20160205,18.15,18.25,18.1,18.2,32510.27
462,20160215,17.84,18.1,17.7,17.98,33513.62
461,20160216,18,18.35,18,18.33,42374.52
460,20160217,18.33,18.75,18.27,18.61,48448.19
459,20160218,18.63,18.74,18.4,18.45,35230.23
458,20160219,18.4,18.89,18.39,18.7,52429.72
457,20160222,18.73,19,18.73,18.96,45425.56
456,20160223,19,19,18.45,18.63,42628.73
455,20160224,18.6,18.67,18.17,18.56,32439.14
454,20160225,18.48,18.6,17.5,17.74,59976.06
453,20160226,17.98,18,17.49,17.92,50087.73
452,20160229,17.98,17.98,17.01,17.41,48754.62
451,20160301,17.41,17.95,17.4,17.87,38276.04
450,20160302,17.84,18.53,17.8,18.46,44774.92
449,20160303,18.45,18.9,18.39,18.45,64932.24
448,20160304,18.45,19.08,18.4,18.77,115397.83
447,20160307,18.88,19.6,18.7,18.94,74241.86
446,20160308,18.89,19.25,18.43,19.05,57641.22
445,20160309,18.82,19.17,18.62,18.77,44703.36
444,20160310,18.77,20.29,18.77,20.05,225668.14
443,20160311,20.1,20.22,19.62,19.98,96119.69
442,20160314,20.2,20.59,19.75,20.28,135061.37
441,20160315,20,20.13,19.62,19.84,91682.85
440,20160316,19.85,19.98,19.6,19.84,62544.66
439,20160317,19.8,20.18,19.5,20.02,86471.62
438,20160318,20.05,20.55,20.05,20.24,114056.63
437,20160321,20.21,20.46,19.92,20.05,172324.75
436,20160322,20.03,20.2,19.8,20.13,73570.27
435,20160323,20.05,20.44,19.98,20.29,81788.22
434,20160324,20.21,20.34,20,20.11,56003.56
433,20160325,20.05,20.23,20.01,20.12,39854.5
432,20160328,20.3,21.2,20.3,20.65,151558.52
431,20160329,20.71,21.06,20.31,20.89,110882.22
430,20160330,21.45,21.65,20.9,21.12,133725.43
429,20160331,21.29,21.39,20.95,21.11,118559.25
428,20160401,21.15,21.28,20.72,21.11,80042.09
427,20160405,21.11,21.47,21,21.41,98598.65
426,20160406,21.4,21.4,21.04,21.23,83482.85
425,20160407,21.23,21.23,20.3,20.33,165131.97
424,20160408,20.24,20.33,20.06,20.19,90963.23
423,20160411,20.6,20.65,19.9,20.01,435747.33
422,20160412,20,20.19,19.9,20.07,134652.43
421,20160413,20.13,20.88,20.11,20.45,184772.55
420,20160414,20.65,20.82,20.5,20.7,104177.92
419,20160415,20.85,20.85,20.55,20.71,54280.68
418,20160418,20.7,20.88,20.42,20.8,92437.61
417,20160419,20.8,20.85,20.57,20.7,58515.03
416,20160420,20.79,20.85,19.9,20.51,109439.74
415,20160421,20.28,20.76,20.28,20.59,89351.52
414,20160422,20.7,21.57,20.7,21.55,166379.15
413,20160425,21.7,22.7,21.59,22.47,266257.78
412,20160426,22.29,22.39,21.8,22.14,180462.19
411,20160427,22.16,22.27,21.87,22.12,166981.97
410,20160428,20.55,20.76,20.15,20.46,187155.39
409,20160429,20.6,21.56,20.51,20.59,229462.12
408,20160503,20.51,21.74,20.51,21.57,202590.6
407,20160504,21.42,21.7,21.01,21.16,99733.73
406,20160505,21.02,21.55,21.02,21.28,84821.94
405,20160506,21.28,21.35,20.23,20.25,120179.51
404,20160509,20,21.06,19.9,20.4,139494.19
403,20160510,20.26,21,20.01,20.73,115957.79
402,20160511,20.79,22.22,20.79,21.53,217569.88
401,20160512,21.3,21.91,20.94,21.34,97848.68
400,20160513,21.25,21.8,21.15,21.41,65049.11
399,20160516,21.35,21.8,21.04,21.4,97706.14
398,20160517,21.4,21.81,21.15,21.56,94318.03
397,20160518,21.41,21.44,20.49,20.97,102108.92
396,20160519,20.85,21.09,20.73,20.75,63190.04
395,20160520,20.7,21.07,20.57,20.8,46943.02
394,20160523,20.9,21.28,20.73,21.28,59382.08
393,20160524,21.29,21.29,20.82,20.9,45504.64
392,20160525,21.05,21.08,20.48,20.64,55876.48
391,20160526,20.63,20.9,20.36,20.61,52553.34
390,20160527,20.62,20.84,20.5,20.71,39321.55
389,20160530,20.56,21.03,20.49,20.94,54829.74
388,20160531,20.92,21.49,20.92,21.45,88485.45
387,20160601,21.38,21.51,21.24,21.36,56898.26
386,20160602,21.38,21.58,21.35,21.5,49286.31
385,20160603,21.61,22.41,21.55,21.99,138513.54
384,20160606,22,22.33,21.91,22.18,58048.87
383,20160607,22.2,22.55,22.2,22.3,97080.03
382,20160608,22.26,22.26,21.66,21.9,72827.53
381,20160613,21.77,22.26,21.53,21.54,82581.6
380,20160614,21.49,21.91,21.25,21.68,83484.46
379,20160615,21.37,22.05,21.37,21.88,75195.6
378,20160616,21.87,21.98,21.4,21.48,80685.1
377,20160617,21.51,21.96,21.44,21.95,82677.51
376,20160620,21.98,22.11,21.6,21.82,55445.08
375,20160621,21.88,21.95,21.38,21.49,63234.41
374,20160622,21.49,21.61,21.32,21.5,45394.64
373,20160623,21.51,21.68,21.21,21.27,55037.82
372,20160624,21.19,21.47,20.68,20.85,116055.07
371,20160627,20.8,21.25,20.77,21.23,82799.24
370,20160628,21.18,21.18,20.7,20.87,137587.3
369,20160629,20.92,20.98,20.49,20.58,182512.48
368,20160630,20.65,21,20.6,20.88,113877.76
367,20160701,20.89,21.28,20.82,21.15,105824.36
366,20160704,21,21.44,20.83,21.35,94984.54
365,20160705,21.3,21.39,21.09,21.17,88286.66
364,20160706,21.17,21.88,21.05,21.8,122564.54
363,20160707,21.79,22.29,21.62,22.19,167644.49
362,20160708,22.08,22.42,21.9,22.3,137292.45
361,20160711,22.35,23.06,22.33,22.74,213360.42
360,20160712,22.78,24.18,22.77,23.97,327018.35
359,20160713,23.98,24.2,23.5,23.77,150216.03
358,20160714,23.56,23.85,23.3,23.6,123048.78
357,20160715,23.61,23.66,22.94,23.35,129550.27
356,20160718,23.35,23.46,23.01,23.18,91526.42
355,20160719,23.23,23.25,22.47,22.57,125319.05
354,20160720,22.7,22.85,22.5,22.6,101775.65
353,20160721,22.65,23.51,22.55,23.15,129825.05
352,20160722,23.16,23.3,22.68,22.78,75880.75
351,20160725,22.65,23.15,22.46,22.5,105244.11
350,20160726,22.45,23.18,22.4,23.11,91205.81
349,20160727,23.05,23.7,22.4,22.8,166444.84
348,20160728,22.86,24.28,22.86,24.1,287325.09
347,20160729,24.24,25.4,24.24,24.55,471636.7
346,20160801,24.5,24.99,23.9,24.36,174109.76
345,20160802,24.2,24.72,23.57,24,135205.65
344,20160803,23.99,24.29,23.59,24.02,109255.04
343,20160804,23.96,24.1,23.54,23.88,100741.16
342,20160805,23.91,24.15,23.62,23.84,89992.29
341,20160808,23.7,24.08,23.57,24.05,104683.08
340,20160809,24.07,24.2,23.71,23.94,118728.46
339,20160810,23.94,24.04,23.56,23.63,129566.01
338,20160811,23.63,24.45,23.57,24.04,196164.41
